"nome","nome-2","numero","digito","nome-3","id","nome-4"
"Banco Itaú S.A.","Agência número 30 do banco Banco Itaú S.A.",424222306,8,"Susana Fragoso",1,"Transferência"
"Caixa Econômica Federal","Agência número 12 do banco Caixa Econômica Federal",203989772,8,"Alzira Semedo",2,"Transferência"
"Banco Votorantim S.A.","Agência número 4 do banco Banco Votorantim S.A.",14118439,3,"Diógenes Novaes",3,"Transferência"
"Banco Itaú S.A.","Agência número 12 do banco Banco Itaú S.A.",278633277,7,"António Cysneiros",4,"Transferência"
"Caixa Econômica Federal","Agência número 49 do banco Caixa Econômica Federal",282599295,4,"Tália Guedelha",5,"Transferência"
"Banco Santander (Brasil) S.A.","Agência número 20 do banco Banco Santander (Brasil) S.A.",312103822,7,"Gaudêncio Valim",6,"Transferência"
"Banco Panamericano S.A.","Agência número 4 do banco Banco Panamericano S.A.",203580474,6,"Benedita Portugal",7,"Transferência"
"Banco Santander (Brasil) S.A.","Agência número 15 do banco Banco Santander (Brasil) S.A.",295186051,0,"Renan Grande",8,"Transferência"
"Banco Bradesco S.A.","Agência número 3 do banco Banco Bradesco S.A.",215637901,0,"Casimiro Granjeia",9,"Transferência"
"Banco Santander (Brasil) S.A.","Agência número 10 do banco Banco Santander (Brasil) S.A.",256786009,3,"Moisés Jardim",10,"Transferência"
"Caixa Econômica Federal","Agência número 11 do banco Caixa Econômica Federal",362325544,4,"Célia Rufino",11,"Transferência"
"Caixa Econômica Federal","Agência número 49 do banco Caixa Econômica Federal",246690806,8,"Lídia Meneses",12,"Transferência"
"HSBC Bank Brasil S.A. - Banco Múltiplo","Agência número 19 do banco HSBC Bank Brasil S.A. - Banco Múltiplo",25574239,0,"Palmira Neiva",13,"Transferência"
"Banco Votorantim S.A.","Agência número 4 do banco Banco Votorantim S.A.",311520744,1,"Alarico Tibiriçá",14,"Transferência"
"Caixa Econômica Federal","Agência número 57 do banco Caixa Econômica Federal",64421435,4,"Valdeci Pirajá",15,"Transferência"
"Caixa Econômica Federal","Agência número 67 do banco Caixa Econômica Federal",258044064,4,"Filena Blanco",16,"Transferência"
"Banco Itaú S.A.","Agência número 31 do banco Banco Itaú S.A.",143117142,6,"Aniano Núñez",17,"Transferência"
"Banco do Brasil S.A.","Agência número 17 do banco Banco do Brasil S.A.",127918587,3,"Alexandra Ramírez",18,"Transferência"
"HSBC Bank Brasil S.A. - Banco Múltiplo","Agência número 16 do banco HSBC Bank Brasil S.A. - Banco Múltiplo",217545867,5,"Hugo Arouca",19,"Transferência"
"Citibank N.A.","Agência número 13 do banco Citibank N.A.",137736540,3,"Quintiliano Peláez",20,"Transferência"
"Banco do Brasil S.A.","Agência número 21 do banco Banco do Brasil S.A.",358751672,7,"Eurico Santos",21,"Transferência"
"Banco Itaú S.A.","Agência número 24 do banco Banco Itaú S.A.",386436835,3,"Deolindo Azeredo",22,"Transferência"
"Banco Santander (Brasil) S.A.","Agência número 16 do banco Banco Santander (Brasil) S.A.",287612561,3,"Hermenegildo Saraiva",23,"Transferência"
"Banco do Brasil S.A.","Agência número 24 do banco Banco do Brasil S.A.",147091146,5,"Caetano Gentil",24,"Transferência"
"Caixa Econômica Federal","Agência número 33 do banco Caixa Econômica Federal",329711671,1,"Natacha Vásquez",25,"Transferência"
"Caixa Econômica Federal","Agência número 83 do banco Caixa Econômica Federal",267011504,5,"Laís Holanda",26,"Transferência"
